frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
1,0.0,1,car,0.9503,440,308,613,418,526,363,526,418,44.655512,10.934434,1694,1169
1,0.0,2,car,0.9012,535,239,635,305,585,272,585,305,44.655433,10.93457,2064,1383
1,0.0,3,car,0.8875,473,230,537,283,505,256,505,283,44.655418,10.934645,2267,1424
2,1.795,1,car,0.943,434,310,609,421,521,365,521,421,44.655513,10.934432,1689,1165
2,1.795,2,car,0.9112,535,238,638,307,586,272,586,307,44.655435,10.934566,2052,1378
2,1.795,3,car,0.891,475,230,539,283,507,256,507,283,44.655417,10.934644,2265,1425
3,2.525,1,car,0.9421,430,311,608,424,519,367,519,424,44.655515,10.93443,1683,1161
3,2.525,2,car,0.9094,538,238,641,307,589,272,589,307,44.655434,10.934565,2050,1379
3,2.525,3,car,0.8933,475,230,540,284,507,257,507,284,44.655419,10.934641,2258,1421
4,3.142,1,car,0.9416,421,312,602,427,511,369,511,427,44.655516,10.934429,1680,1156
4,3.142,2,car,0.8979,539,239,643,308,591,273,591,308,44.655435,10.934562,2043,1377
4,3.142,3,car,0.8961,477,230,541,284,509,257,509,284,44.655419,10.934641,2256,1422
5,3.724,1,car,0.9349,415,316,595,430,505,373,505,430,44.655518,10.934427,1677,1152
5,3.724,2,car,0.8898,542,240,645,309,593,274,593,309,44.655436,10.93456,2036,1375
5,3.724,3,car,0.8971,478,230,542,284,510,257,510,284,44.655419,10.934641,2256,1422
5,3.724,4,car,0.7589,540,211,621,246,580,228,580,246,44.655346,10.934745,2540,1620
6,4.249,1,car,0.9413,408,316,592,433,500,374,500,433,44.655519,10.934426,1673,1148
6,4.249,2,car,0.8924,543,241,646,309,594,275,594,309,44.655436,10.93456,2036,1375
6,4.249,3,car,0.8975,478,230,544,284,511,257,511,284,44.655418,10.93464,2255,1423
6,4.249,4,car,0.7848,535,212,616,248,575,230,575,248,44.655351,10.934739,2523,1606
7,4.759,1,car,0.9439,401,318,586,435,493,376,493,435,44.655521,10.934426,1672,1145
7,4.759,2,car,0.8911,543,241,648,310,595,275,595,310,44.655437,10.934557,2030,1372
7,4.759,3,car,0.8976,478,230,544,284,511,257,511,284,44.655418,10.93464,2255,1423
7,4.759,4,car,0.7822,530,213,615,250,572,231,572,250,44.655355,10.934732,2503,1594
8,5.24,1,car,0.9418,394,319,580,437,487,378,487,437,44.655522,10.934425,1670,1142
8,5.24,2,car,0.8929,544,241,650,311,597,276,597,311,44.655438,10.934555,2023,1370
8,5.24,3,car,0.8965,479,231,544,285,511,258,511,285,44.65542,10.934638,2248,1419
8,5.24,4,car,0.8095,529,213,614,251,571,232,571,251,44.655357,10.934728,2494,1588
